
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:55482        127.0.0.1:55403        ESTABLISHED     34136
  TCP    127.0.0.1:55960        127.0.0.1:64292        TIME_WAIT       0
  TCP    127.0.0.1:56945        0.0.0.0:0              LISTENING       34136
  TCP    127.0.0.1:56945        127.0.0.1:53882        ESTABLISHED     34136
  TCP    127.0.0.1:56945        127.0.0.1:54448        ESTABLISHED     34136
  TCP    127.0.0.1:56946        0.0.0.0:0              LISTENING       34136
  TCP    127.0.0.1:56946        127.0.0.1:59084        TIME_WAIT       0
  TCP    127.0.0.1:56946        127.0.0.1:61481        TIME_WAIT       0
  TCP    127.0.0.1:56946        127.0.0.1:62656        TIME_WAIT       0
  TCP    127.0.0.1:60730        127.0.0.1:64292        TIME_WAIT       0
  TCP    127.0.0.1:62277        127.0.0.1:55403        TIME_WAIT       0
  TCP    127.0.0.1:64292        0.0.0.0:0              LISTENING       20068
  TCP    [::]:135               [::]:0                 LISTENING       1948
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       6808
  TCP    [::]:5432              [::]:0                 LISTENING       3640
  TCP    [::]:7680              [::]:0                 LISTENING       15764
  TCP    [::]:8085              [::]:0                 LISTENING       21576
  TCP    [::]:9101              [::]:0                 LISTENING       10256
  TCP    [::]:33060             [::]:0                 LISTENING       6808
  TCP    [::]:49664             [::]:0                 LISTENING       1588
  TCP    [::]:49665             [::]:0                 LISTENING       1428
  TCP    [::]:49666             [::]:0                 LISTENING       2512
  TCP    [::]:49667             [::]:0                 LISTENING       3284
  TCP    [::]:49668             [::]:0                 LISTENING       5404
  TCP    [::]:49681             [::]:0                 LISTENING       1568
  TCP    [::]:52366             [::]:0                 LISTENING       10256
  TCP    [::1]:5173             [::]:0                 LISTENING       37964
  TCP    [::1]:5173             [::1]:62214            ESTABLISHED     37964
  TCP    [::1]:5432             [::1]:55651            ESTABLISHED     3640
  TCP    [::1]:5432             [::1]:56116            ESTABLISHED     3640
  TCP    [::1]:5432             [::1]:56345            ESTABLISHED     3640
  TCP    [::1]:8085             [::1]:60729            ESTABLISHED     21576
  TCP    [::1]:55651            [::1]:5432             ESTABLISHED     20068
  TCP    [::1]:55653            [::1]:8085             TIME_WAIT       0
  TCP    [::1]:56116            [::1]:5432             ESTABLISHED     20068
  TCP    [::1]:56345            [::1]:5432             ESTABLISHED     20068
  TCP    [::1]:60729            [::1]:8085             ESTABLISHED     27200
  TCP    [::1]:61161            [::1]:9229             SYN_SENT        1172
  TCP    [::1]:62214            [::1]:5173             ESTABLISHED     27200
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:49257  [2603:1040:a06:6::1]:443  ESTABLISHED     14640
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:53017  [2404:6800:4003:c03::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:53477  [2404:6800:4007:834::2001]:443  TIME_WAIT       0
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:54298  [2404:6800:4003:c04::bc]:5228  ESTABLISHED     27200
